rank,name,team,position,value
386,Justice Hill,BAL,RB,1250
387,KaVontae Turpin,DAL,WR,1245
388,Greg Dortch,ARI,WR,1240
389,Tyrell Shavers,BUF,WR,1240
390,Will Levis,TEN,QB,1226
391,Jalin Hyatt,NYG,WR,1224
392,Trey Lance,LAC,QB,1219
393,Darren Waller,MIA,TE,1214
394,Tahj Washington,MIA,WR,1212
395,Tanner McKee,PHI,QB,1205
396,Phil Mafah,DAL,RB,1189
397,Erick All,CIN,TE,1166
398,Kameron Johnson,TBB,WR,1157
399,Rasheen Ali,BAL,RB,1153
400,Malachi Corley,CLE,WR,1152
